0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:19 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:22 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:22 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:25 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:25 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:26 +0900] "GET /CS_Project/start.jsp HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:27 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:27 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:51 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5676
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:51 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:59 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5676
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:35:59 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:36:07 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:36:07 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
